Title,Description,PostsNum
Important Progress iMacros Product Update,"Dear iMacros Customers and Users, 

We are writing to inform you that Progress will be officially discontinuing the Progress iMacros product, with a planned End-Of-Life date of November 30, 2023. 

What does this mean? 
Moving forward, Progress will continue to support the iMacros product and will only provide critical fixes as needed until the EOL date. We will honor all service agreements through the existing term, except for those contracts that go beyond the EOL date. Customers with service agreements that go beyond the EOL date will be contacted separately to discuss their options and next steps. We will continue to offer service agreement renewals that do not exceed the EOL date. 

What are your next steps? 
Please remain on the lookout for more communications from Progress in the coming months, as more information will be made readily available to assist you as you prepare your transition plans. 

If you have additional questions, please email iMacrosInquiries@progress.com 

On behalf of Progress, thank you for your continued partnership and commitment. 

Sincerely,  
The Progress iMacros Team",2
*** Please read this before reporting problems ***,"Post last updated: May 25, 2020.

If you open a new topic (or post for the first time in some existing topic) to report an issue or ask any question, we can respond much faster if your problem description includes the following information (if applicable, not all questions fit to all problems):

1. What version of iMacros are you using?
You find the iMacros version and build information at the top of every macro that you record, for example ""VERSION BUILD=10100795"". Also specify whether you are using a freeware, trial, or licensed version, e.g. Personal Edition. Please test with the latest version.

2. What operating system are you using? (please also specify language)
Example: Windows 10, Windows 8.1, Windows 7, Windows Server 2012R2, English, German, Chinese, ...

3. Which browser(s) are you using? (include version numbers)
Example: Chrome 74.0.3729.13, Firefox 64.0.2, IE 11/10/9, ...

4. Do the included demo macros work ok? 
This test helps us to determine if the problem is a general iMacros issue or is somehow related to a specific website or configuration.

5. If reporting a problem with the iMacros scripting interface, please also test if the included VBS sample scripts run ok.
This test helps us to determine if the iMacros scripting interface installation is ok.

6. If recording or replay fails on a specific website: Can you please post the URL of the web page and/or the macro that creates the problem?
If you cannot post the macro in a public user forum or the website requires a login, can you provide a similar example of the problem on a publicly accessible website?

7. Do you encounter the same problem recording or replaying the macro in different browsers, such as the iMacros browser, Firefox, Chrome, or Internet Explorer? 
Note: If the problem is specific to Firefox or Chrome, please post in either the iMacros for Firefox or iMacros for Chrome sub-forum respectively.

8. Please include any additional information that is relevant to reproducing the issue.
This includes a detailed description of the steps you've tried as well as the specific error codes and messages, macro logs, screen shots, etc. Please upload screenshots and other relevant files directly to the forum and not to a third-party hosting service!

This information allows us to quickly re-create the issue on our test systems and solve it ASAP.

Additional tips when posting

* Please ensure that the content of your post is relevant to the topic and/or forum where you post it.
For example, if you are having a problem extracting data from a web page and are using Firefox, create your post in the Data Extraction and Web Screen Scraping forum rather than the iMacros for Firefox forum (see note #7 above). If you are unsure which forum to post to, use the General Support & Discussions forum.

* Use a topic title that succinctly describes the problem or issue.
Avoid phrases such as ""Please Help"", ""Urgent"", ""Script not working"", etc. and refrain from using all capital letters and exclamation points. Also, double-check that the spelling of the title and body of the post are correct, since this makes it more likely to be found in searches by other users. Most modern browsers automatically check spelling as you type and underline mistakes, so please correct them before submitting your post.

* Don't post the same question to more than one forum.
If you've miscategorized your original post, just click the Exclamation Icon on the right of the post's subject/title line to report it and let us know where you would like it moved or merged.

* Always provide your FCI (Full Config Info), c.f. items 1-3 above, in your original post even if you think it may not be relevant.
Some of our mods may not even respond unless this information is included. Please don't put this information in your signature, because this can change over time and makes it more confusing when reviewing older posts. Include the information directly in the body of the post instead.

* When sharing screenshots or other relevant files, please upload them directly to the forum rather than use a third-party hosting/sharing service.
Too often these services stop functioning or the files become unavailable for whatever reason. Uploading them here ensures that the full context of the post remains consistent over time.

* Take a minute to review your forum notification settings

Thank you for helping us to help you better!",1
Help needed scraping H2 and TD element,"Hi All,
Sorry if this is a newbie questions - hope someone can help me out here.
Already tried all suggestion solutions found online and here.

From product pages like this URL https://butik.multiline.dk/Enterprise%2 ... mID=100545 i need to scrape the Headline (H2) and the table values ""100545"", ""3 dnk x 5 ltr/krt"",""100545.CT""...

I tried things like 

""TAG POS=1 TYPE=H2 ATTR=CLASS:idMain&&TXT:* EXTRACT=TXT"" and
""TAG POS=1 TYPE=TD ATTR=CLASS:idSection EXTRACT=TXT""

but i keep getting the #ENF# error..
Been struggling with this for 2 hours now - hoping someone can help me..

Dannie",2
Extracting a First name from a LinkedIn Profile,"Hi - bit of  newb at this.

So I'm currently workiong a lot with LinkedIn for my job, and a guy at work suggested imacro as an easy and quick way to automateextracting contact detailsfrom LinkedIn, and save it as a file so ican use it to mailshot through Microsoft office. So far it works great - but...

I'm not trying to fix what ain't broken, but i started playing around, and trying to polish my method, and tried to get imacro to extract the first name from a Linked Profile page and save it with the corresponding email address (allowing me to personalise every email). I can do the FULL name with ease, but I'm admitting defeat with the first name extraction.

Here is what i have so far: 

VERSION BUILD=10.4.28.1074
TAB T=1
TAG POS=1 TYPE=SPAN ATTR=CLASS:full-name EXTRACT=TXT
SET !VAR1 {{!EXTRACT}}
SET !VAR1 EVAL(""var s=\""{{!EXTRACT}}\""; s.split(' ')[0];"")
SET !EXTRACT NULL
SAVEAS TYPE=VAR1 FOLDER=C:\Users\Macros FILE=Email.csv

This isn't working -   


If any of you lovely people could assist with this, i would be eternally grateful.",3
Open Link In a new tab,"Hi, Thank you for trying to help 

i really need an advice.

im trying to build a simple macro that just opens links in new tabs and handling them. the problem is, that i dont have a pattern on this links - they are changing all they time so i cannot use the :

open tab
t=2
url go to= ...

eventually, this is what is need the macro to do :


Thank you ! ",3
data extraction php generated,"i am trying to extract from a textarea. the contents of the text area does not show in the page source. inspect element shows only 1 line of code:
<textarea class=""formCode""></textarea>
so i suppose the contents inside the textarea is dynamically generated by php.

my iMacro looks like this:
TAG POS={{!LOOP}} TYPE=TEXTAREA ATTR=CLASS:formCode&&TXT:* EXTRACT=TXT
SAVEAS TYPE=EXTRACT FOLDER=C:\myfolder FILE={{!LOOP}}.txt

during the run, i do see the textarea (form) is selected/outlined.

the saved file contains just quotes. so nothing is extracted? how do i get the contents in the textarea?",2
redoubles doublequotes when saving extracted tag as html,"Hello!
I'm using iMacro 8.9.4 as Firefox-Addon for FF 38.0 on my Linux Mint 17.1-machine with german language. I am pretty new to iMacro, but I have some programming-knowledge.

I try to extract a part of a website and save the output into an html-file. My Code (the last two lines are important):
Code: Select allTAG POS=1 TYPE=TITLE ATTR=TXT:* EXTRACT=TXT
SET !VAR1 EVAL(""\""{{!EXTRACT}}\"".replace(/([0-9]+)/,\""$1.html\"");"")
SET !EXTRACT NULL
TAG POS=1 TYPE=div ATTR=class:main EXTRACT=HTM
SAVEAS TYPE=EXTRACT FOLDER=~/path/to/file/ FILE={{!VAR1}} 

When I open the output-File. it looks like this:
Code: Select all""<div style=""""style-info ..."""" class=""""main"""">text and tags ...</div>""
Every double-quote is double-quoted a secound time. Additionally, the whole html-code is double-quoted.

The SaveAs.iim-Demo works, but there is no Data-Extraction involved.

Do you have an idea, how to solve the problem?

Thanks in advance!
Thomas131",1
take text ajax page,"Hello everyone, this program is very powerful.
I do not quite copy me the all email addresses from this elenco (a-z) http://tinyurl.com/praticante , click on ""praticante abilitato"" and as ""prov"" write M.
It should not be difficult, but I can not, if someone is kind enough to help me I would be grateful.
Thank you",2
Get the coordinates (XY) of an element,"Hello! I am trying to learn the position of the element on the page using JS: Code: Select allURL GOTO=JavaScript:links=window.content.document.links;pos=links[0].getBoundingClientRect();x=Math.floor(pos.left);y=Math.floor(pos.top);


value is calculated, but how do I pass this value to the PHP-script? or is there some iMacros-command (without using js)?",3
2 Step data extraction not working with loop,"Hi Friends,

I am just trying to extract the title and paragraph of each framework/tool etc.

Trying to extract from below website.
Can you guys help me in this? 
www.softdevtools.com

http://www.softdevtools.com/modules/web ... .php?cid=1
so, In softdev.csv there are number links to loop.
Here is the code which I am trying to do. Hope you understand
Example: 
Need to extract 

ColumnA :  StresStimulus    
ColumnB: StresStimulus is an enterprise-class load test tool for performance testing complex websites, web API and mobile. It provides a comprehensive solution to assess, predict, and improve the performance.

and so on like there are (2847) tools available on this website.

TAB T=1
SET !ERRORIGNORE YES
SET !EXTRACT_TEST_POPUP NO
SET !DATASOURCE D:\softdev.csv
SET !LOOP 2
'SET !DATASOURCE_COLUMNS 1
SET !DATASOURCE_LINE {{!LOOP}}
URL GOTO={{!COL1}}
TAG POS=1 TYPE=TD ATTR=TXT:*** EXTRACT=TXT
ADD !EXTRACT {{!COL1}}
TAG POS=1 TYPE=DIV ATTR=TXT:*** EXTRACT=TXT
ADD !EXTRACT {{!COL2}}
TAG POS=2 TYPE=TD ATTR=TXT:*** EXTRACT=TXT
ADD !EXTRACT {{!COL1}}
TAG POS=2 TYPE=DIV ATTR=TXT:*** EXTRACT=TXT
ADD !EXTRACT {{!COL2}}
TAG POS=3 TYPE=TD ATTR=TXT:*** EXTRACT=TXT
ADD !EXTRACT {{!COL1}}
TAG POS=3 TYPE=DIV ATTR=TXT:*** EXTRACT=TXT

waiting for correct code.

Thanks
Satish",2
